Data;Hora;Liquidação;Descrição;Valor (U$);Saldo da conta (U$)
2022-06-29;03:23;29/06/2022;Dividendos UNH. UNITEDHEALTH GROUP INC;1.65;518.11
2022-06-29;03:23;29/06/2022;Retenção Impostos sobre Dividendos UNH. UNITEDHEALTH GROUP INC;-0.5;517.61
2022-07-02;03:31;05/07/2022;Dividendos NVDA. NVIDIA CORP;0.16;517.77
2022-07-02;03:33;05/07/2022;Retenção Impostos sobre Dividendos NVDA. NVIDIA CORP;-0.05;517.72
2022-07-08;12:00;12/07/2022;Venda de 2 AAPL a $ 146.94;293.88;811.6
2022-07-08;12:00;12/07/2022;Corretagem AAPL;-1.5;810.1
2022-07-08;12:01;12/07/2022;Corretagem NVDA;-1.5;808.6
2022-07-08;12:01;12/07/2022;Venda de 2 NVDA a $ 158.09;316.18;1124.78
2022-07-08;12:02;12/07/2022;Corretagem UNH;-1.5;1123.28
2022-07-08;12:02;12/07/2022;Venda de 1 UNH a $ 525.89;525.89;1649.17
2022-07-08;12:03;12/07/2022;Corretagem DIS;-1.5;1647.67
2022-07-08;12:03;12/07/2022;Venda de 3 DIS a $ 96.77;290.3;1937.97
2022-07-08;12:03;12/07/2022;Venda de 3 ATVI a $ 78.49;235.47;2173.44
2022-07-08;12:03;12/07/2022;Corretagem ATVI;-1.5;2171.94
2022-07-08;12:04;12/07/2022;Venda de 5 NCLH a $ 11.85;59.25;2231.19
2022-07-08;12:04;12/07/2022;Corretagem NCLH;-1.0;2230.19
2022-07-18;09:22;18/07/2022;Transferência para conta Bancária;-1344.6;885.59
2022-08-12;03:11;12/08/2022;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.14;885.45
2022-08-12;03:11;12/08/2022;Dividendos AAPL. APPLE INC;0.46;885.91
2022-09-30;04:18;30/09/2022;Dividendos NVDA. NVIDIA CORP;0.08;885.99
2022-09-30;04:18;30/09/2022;Retenção Impostos sobre Dividendos NVDA. NVIDIA CORP;-0.02;885.97
2022-11-02;17:54;02/11/2022;Taxa de Inatividade;-0.5;885.47
2022-11-02;17:58;02/11/2022;Taxa de Inatividade;-0.5;884.97
2022-11-03;11:00;03/11/2022;Estorno Taxa de Inatividade;0.5;885.47
2022-11-05;03:49;07/11/2022;Taxa Transferência (DTC);-0.5;884.97
2022-11-07;10:18;07/11/2022;Estorno Transferência Taxa (DTC);0.5;885.47
2022-11-11;09:43;14/11/2022;Dividendos AAPL. APPLE INC;0.46;885.93
2022-11-11;09:43;14/11/2022;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.14;885.79
2022-12-06;06:55;06/12/2022;Taxa de Inatividade;-0.5;885.29
