Indice;Data;Hora;Liquidação;Descrição;Valor (U$);Saldo da conta (U$);Indice;Indice.1
57;12/02/2021;02:56;12/02/2021;Retenção Impostos sobre Dividendos AAPL. AAPL tax, 30% withheld;-0.25;1669.65;40.0;1.0
58;19/03/2021;11:01;23/03/2021;Compra de 10 NCLH a $ 28.59;-285.9;1383.75;41.0;2.0
59;24/03/2021;01:22;24/03/2021;Dividendos UNH. UNH dividend, $1.25/share;1.25;1385.0;42.0;3.0
60;24/03/2021;01:22;24/03/2021;Retenção Impostos sobre Dividendos UNH. UNH tax, 30% withheld;-0.38;1384.62;43.0;4.0
61;01/04/2021;01:22;01/04/2021;Dividendos NVDA. NVDA dividend, $0.16/share;0.16;1384.78;44.0;5.0
62;01/04/2021;01:23;01/04/2021;Retenção Impostos sobre Dividendos NVDA. NVDA tax, 30% withheld;-0.05;1384.73;45.0;6.0
63;07/05/2021;01:42;07/05/2021;Dividendos ATVI. ATVI dividend, $0.47/share;2.35;1387.08;46.0;7.0
64;07/05/2021;01:42;07/05/2021;Retenção Impostos sobre Dividendos ATVI. ATVI tax, 30% withheld;-0.71;1386.37;47.0;8.0
65;11/05/2021;06:19;11/05/2021;Dividendos . ACCOUNT CONVERSION CASH;1386.37;2772.74;48.0;9.0
66;11/05/2021;07:18;11/05/2021;Retenção Impostos sobre Dividendos . ACCOUNT CONVERSION CASH;-2772.74;;49.0;10.0
67;11/05/2021;11:19;11/05/2021;Estorno Impostos sobre Dividendos;2772.74;2772.74;50.0;11.0
68;11/05/2021;12:00;11/05/2021;US Estorno Dividendos;-1386.37;1386.37;51.0;12.0
69;14/05/2021;04:10;14/05/2021;Dividendos AAPL. APPLE INC;0.88;1387.25;52.0;13.0
70;14/05/2021;04:10;14/05/2021;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.26;1386.99;53.0;14.0
71;03/06/2021;11:28;07/06/2021;Compra de 5 DIS a $ 175.83;-879.15;507.84;54.0;15.0
72;30/06/2021;04:08;30/06/2021;Retenção Impostos sobre Dividendos UNH. UNITEDHEALTH GROUP INC;-0.44;507.4;55.0;16.0
73;30/06/2021;04:08;30/06/2021;Dividendos UNH. UNITEDHEALTH GROUP INC;1.45;508.85;56.0;17.0
74;02/07/2021;05:28;02/07/2021;Retenção Impostos sobre Dividendos NVDA. NVIDIA CORP;-0.05;508.8;57.0;18.0
75;02/07/2021;05:28;02/07/2021;Dividendos NVDA. NVIDIA CORP;0.16;508.96;58.0;19.0
76;13/08/2021;03:04;13/08/2021;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.26;508.7;59.0;20.0
77;13/08/2021;03:04;13/08/2021;Dividendos AAPL. APPLE INC;0.88;509.58;60.0;21.0
78;22/09/2021;02:04;22/09/2021;Dividendos UNH. UNITEDHEALTH GROUP INC;1.45;511.03;61.0;22.0
79;22/09/2021;02:04;22/09/2021;Retenção Impostos sobre Dividendos UNH. UNITEDHEALTH GROUP INC;-0.44;510.59;62.0;23.0
80;24/09/2021;02:27;24/09/2021;Retenção Impostos sobre Dividendos NVDA. NVIDIA CORP;-0.05;510.54;63.0;24.0
81;24/09/2021;02:27;24/09/2021;Dividendos NVDA. NVIDIA CORP;0.16;510.7;64.0;25.0
82;12/11/2021;05:09;12/11/2021;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.26;510.44;65.0;26.0
83;12/11/2021;05:09;12/11/2021;Dividendos AAPL. APPLE INC;0.88;511.32;66.0;27.0
84;15/12/2021;04:35;15/12/2021;Dividendos UNH. UNITEDHEALTH GROUP INC;1.45;512.77;67.0;28.0
85;15/12/2021;04:35;15/12/2021;Retenção Impostos sobre Dividendos UNH. UNITEDHEALTH GROUP INC;-0.44;512.33;68.0;29.0
86;24/12/2021;05:37;27/12/2021;Retenção Impostos sobre Dividendos NVDA. NVIDIA CORP;-0.05;512.28;69.0;30.0
87;24/12/2021;05:37;27/12/2021;Dividendos NVDA. NVIDIA CORP;0.16;512.44;70.0;31.0
